PositionX [?m],PositionY [?m],Time [s]
12.451389,13.772917,10:48.8
12.519048,13.76746,10:49.8
12.473457,13.77716,10:50.8
12.43,13.830667,10:51.8
12.441667,13.816667,10:52.8
12.466667,13.816667,10:53.8
12.491667,13.783333,10:54.8
12.420833,13.808929,10:55.8
12.492857,13.688889,10:56.8
12.493827,13.682099,10:57.8
12.403205,13.80641,10:58.8
12.370635,13.828571,10:59.8
12.384167,13.713333,11:00.8
12.451389,13.75,11:01.8
12.466667,13.75,11:02.8
12.391176,13.847059,11:03.8
12.361905,13.77619,11:04.8
12.407738,13.671429,11:05.8
12.301667,13.805,11:06.8
12.323188,13.765942,11:07.8
12.292982,13.75,11:08.8
12.302632,13.730702,11:09.8
12.375,13.75,11:10.8
12.329167,13.780556,11:11.8
12.355072,13.75,11:12.8
12.258333,13.825,11:13.8
12.283333,13.821739,11:14.8
12.344444,13.834028,11:15.8
12.33913,13.821739,11:16.8
12.227536,13.837681,11:17.8
12.310494,13.75679,11:18.8
12.214583,13.742361,11:19.8
12.290123,13.77716,11:20.8
12.233333,13.816667,11:21.8
12.255128,13.771154,11:22.8
12.199306,13.788194,11:23.8
12.206944,13.803472,11:24.8
12.156897,13.813218,11:25.8
12.275694,13.788194,11:26.8
12.322619,13.77619,11:27.8
12.191667,13.788194,11:28.8
12.307246,13.702174,11:29.8
12.329167,13.688889,11:30.8
12.224667,13.662,11:31.8
12.248077,13.721795,11:32.8
12.266667,13.666667,11:33.8
12.276543,13.73642,11:34.8
12.297436,13.75,11:35.8
12.310494,13.75,11:36.8
12.3,13.808333,11:37.8
12.312667,13.713333,11:38.8
12.332692,13.742949,11:39.8
12.308333,13.725,11:40.8
12.344444,13.734722,11:41.8
12.420833,13.7775,11:42.8
12.342,13.728,11:43.8
12.355072,13.742029,11:44.8
12.382639,13.711806,11:45.8
12.41087,13.726087,11:46.8
12.375,13.75,11:47.8
12.416667,13.775,11:48.8
12.543056,13.696528,11:49.8
12.459615,13.665385,11:50.8
12.5125,13.589583,11:51.8
12.371014,13.710145,11:52.8
12.533333,13.566667,11:53.8
12.519048,13.632143,11:54.8
12.466667,13.566667,11:55.8
12.525,13.608333,11:56.8
12.397917,13.68125,11:57.8
12.466667,13.658333,11:58.8
12.503333,13.632667,11:59.8
12.554348,13.550725,12:00.8
12.530128,13.53141,12:01.8
12.491667,13.5,12:02.8
12.483333,13.525,12:03.8
12.483333,13.391667,12:04.8
12.538406,13.494928,12:05.8
12.5125,13.475,12:06.8
12.597619,13.435714,12:07.8
12.558333,13.438333,12:08.8
12.594203,13.502899,12:09.8
12.631667,13.5575,12:10.8
12.627083,13.475,12:11.8
12.578261,13.478986,12:12.8
12.621053,13.383333,12:13.8
12.494167,13.53,12:14.8
12.547333,13.442,12:15.8
12.466667,13.508772,12:16.8
12.535417,13.429167,12:17.8
12.457018,13.441228,12:18.8
12.439167,13.42,12:19.8
12.411667,13.3925,12:20.8
12.426812,13.375362,12:21.8
12.378986,13.399275,12:22.8
12.365833,13.3925,12:23.8
12.482609,13.407246,12:24.8
12.440476,13.418254,12:25.8
12.389474,13.431579,12:26.8
12.414286,13.409524,12:27.8
12.359722,13.513194,12:28.8
12.305333,13.566667,12:29.8
12.419136,13.478395,12:30.8
12.324074,13.559877,12:31.8
12.298,13.559333,12:32.8
12.311538,13.489103,12:33.8
12.348039,13.437255,12:34.8
12.31859,13.446795,12:35.8
12.290385,13.503205,12:36.8
12.342,13.442,12:37.8
12.269753,13.458025,12:38.8
12.274603,13.418254,12:39.8
12.257143,13.505556,12:40.8
12.283333,13.383333,12:41.8
12.191667,13.452083,12:42.8
12.283333,13.398611,12:43.8
12.224667,13.317333,12:44.8
12.195652,13.399275,12:45.8
12.17971,13.471014,12:46.8
12.306944,13.459722,12:47.9
